"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"100304","원색 한국담수어도감","최기철 등저","향문사",NA,NA,"277",NA,NA,"1990년 11월 30일","농축산학계열","농림수산학","100304.html",28000,28000,"KRW","OutOfStock","Used",0,10,0,NA
"101302047","과수 병해충","농촌진흥청 저","진한엠앤비",NA,"9791129020956","432",NA,"188*257*30mm","2021년 04월 22일","농축산학계열","농림수산학","101302047.html",42000,39900,"KRW","OutOfStock","Used",0,10,0,NA
"101407150","농경지 토양 관리기술","농촌진흥청 저","진한엠앤비",NA,"9791129020611","322",NA,"188*257*30mm","2021년 05월 02일","농축산학계열","농림수산학","101407150.html",32000,30400,"KRW","OutOfStock","Used",0,10,0,NA
"101407209","포도","농촌진흥청 저","진한엠앤비",NA,"9791129020918","306",NA,"188*257*30mm","2021년 05월 02일","농축산학계열","농림수산학","101407209.html",30000,28500,"KRW","OutOfStock","Used",0,10,0,NA
"101546133","고품질 수박","농촌진흥청 저","진한엠앤비",NA,"9791129021007","240",NA,"188*257*20mm","2021년 05월 07일","농축산학계열","농림수산학","101546133.html",24000,22800,"KRW","OutOfStock","Used",0,10,0,NA
"101546150","블루베리","농촌진흥청 저","진한엠앤비",NA,"9791129021014","272",NA,"188*257*20mm","2021년 05월 07일","농축산학계열","농림수산학","101546150.html",27000,25650,"KRW","OutOfStock","Used",0,10,0,NA
"101546423","뽕나무·오디","농촌진흥청 저","진한엠앤비",NA,"9791129021021","178",NA,"188*257*20mm","2021년 05월 07일","농축산학계열","농림수산학","101546423.html",18000,17100,"KRW","OutOfStock","Used",0,10,0,NA
"101546455","상추","농촌진흥청 저","진한엠앤비",NA,"9791129021038","252",NA,"188*257*20mm","2021년 05월 07일","농축산학계열","농림수산학","101546455.html",26000,24700,"KRW","OutOfStock","Used",0,10,0,NA
"101546489","토마토","농촌진흥청 저","진한엠앤비",NA,"9791129021045","356",NA,"188*257*30mm","2021년 05월 07일","농축산학계열","농림수산학","101546489.html",36000,34200,"KRW","OutOfStock","Used",0,10,0,NA
"101760850","양파","농촌진흥청 저","진한엠앤비",NA,"9791129021069","232",NA,"188*257*20mm","2021년 05월 14일","농축산학계열","농림수산학","101760850.html",23000,21850,"KRW","InStock","Used",0,10,0,NA
"101760873","멜론","농촌진흥청 저","진한엠앤비",NA,"9791129021076","198",NA,"188*257*20mm","2021년 05월 18일","농축산학계열","농림수산학","101760873.html",20000,19000,"KRW","OutOfStock","Used",0,10,0,NA
"101760882","시금치","농촌진흥청 저","진한엠앤비",NA,"9791129021083","122",NA,"188*257*20mm","2021년 05월 18일","농축산학계열","농림수산학","101760882.html",12000,11400,"KRW","OutOfStock","Used",0,10,0,NA
"101867795","감초","농촌진흥청 저","진한엠앤비",NA,"9791129021113","154",NA,"188*257*20mm","2021년 05월 21일","농축산학계열","농림수산학","101867795.html",15000,14250,"KRW","OutOfStock","Used",0,10,0,NA
"101867803","시설 국화 주요 병해충 관리 매뉴얼","농촌진흥청 국립원예특작과학원 저","진한엠앤비",NA,"9791129021090","100",NA,"188*257*15mm","2021년 05월 21일","농축산학계열","농림수산학","101867803.html",10000,9500,"KRW","OutOfStock","Used",0,10,0,NA
"101867819","의·식·주(衣食住)로 즐기는 텃밭정원 이야기","농촌진흥청 국립원예특작과학원 저","진한엠앤비",NA,"9791129021106","144",NA,"188*257*20mm","2021년 05월 21일","농축산학계열","농림수산학","101867819.html",14000,13300,"KRW","OutOfStock","Used",0,10,0,NA
"101903811","수산식품 가공학","이경혜 저","진로연구사",NA,"9791189464073","363",NA,"190*260*30mm","2021년 05월 20일","농축산학계열","농림수산학","101903811.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"101978401","텃밭정원 이야기 인지건강편","농촌진흥청 저","휴먼컬처아리랑",NA,"9791165371425","146",NA,"190*260*20mm","2021년 05월 25일","농축산학계열","농림수산학","101978401.html",15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"101978687","Agriculture in Korea 2020","KREI 편집부 저","institute",NA,"9791161494777","518",NA,"177*225*35mm","2021년 05월 01일","농축산학계열","농림수산학","101978687.html",30000,30000,"KRW","OutOfStock","Used",0,10,0,NA
"102078015","수산자원학","장충식 저","해광",NA,"9791191274400","236",NA,"188*258*15mm","2021년 06월 15일","농축산학계열","농림수산학","102078015.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"102234805","쌀 품질 고급화 기술","농촌진흥청 저","진한엠앤비",NA,"9791129021274","384",NA,"188*257*30mm","2021년 06월 14일","농축산학계열","농림수산학","102234805.html",38000,36100,"KRW","OutOfStock","Used",0,10,0,NA
"102234916","국내 최초 가을생산용 딸기 고슬 재배 매뉴얼","농촌진흥청 국립식량과학원 저","112902122X",NA,"9791129021229","92",NA,"188*257mm","2021년 06월 11일","농축산학계열","농림수산학","102234916.html",10000,9500,"KRW","OutOfStock","Used",0,10,0,NA
"102272649","한국·네덜란드 치유농업 총서","농촌진흥청 국립원예특작과학원 저","진한엠앤비",NA,"9791129021298","548",NA,"188*257*35mm","2021년 06월 15일","농축산학계열","농림수산학","102272649.html",52000,49400,"KRW","OutOfStock","Used",0,10,0,NA
"102387213","농촌진흥청 치유농업 영농활용자료","농촌진흥청,국립농업과학원 저","진한엠앤비",NA,"9791129021502","148",NA,"188*257*20mm","2021년 06월 22일","농축산학계열","농림수산학","102387213.html",14000,13300,"KRW","OutOfStock","Used",6,10,0,NA
"102406076","표고 품종 육성 안내","국립산림과학원 저","휴먼컬처아리랑",NA,"9791165371487","182",NA,"194*263*20mm","2021년 06월 29일","농축산학계열","농림수산학","102406076.html",25000,25000,"KRW","OutOfStock","Used",0,10,0,NA
"102406182","블루베리 핵심재배기술","문원 저","8920040540",NA,NA,"296",NA,"173*245*16mm","2021년 06월 25일","농축산학계열","농림수산학","102406182.html",22000,19800,"KRW","OutOfStock","Used",8,10,0,NA
