"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"100165","임진왜란 포로실기 연구","이채연","박이정출판사",NA,NA,"333",NA,NA,"1995년 04월 30일","어문학계열","어문학계열","국문학",9000,8550,"KRW","OutOfStock","Used",0,10,0,NA
"100326737","대조언어학적인 관점에서의 한국어 연어 연구","범기혜 저","한국문화사",NA,"9791166850226","260",NA,"153*225*20mm","2021년 04월 30일","어문학계열","어문학계열","국문학",22000,22000,"KRW","OutOfStock","Used",0,10,0,NA
"101266","두보","장기근 편","8986438194",NA,NA,"410",NA,NA,"1997년 12월 31일","어문학계열","어문학계열","국문학",12000,10800,"KRW","OutOfStock","Used",0,10,0,NA
"10127","시를 어떻게 읽을 것인가","김종길 저","고려대학교출판부",NA,NA,"180",NA,"148*210*20mm","1998년 04월 30일","어문학계열","어문학계열","국문학",7000,7000,"KRW","OutOfStock","Used",8,10,0,NA
"101873510","한국의 석비문과 비지문","심경호 저","일조각",NA,NA,"960",NA,"178*253*55mm","2021년 05월 18일","어문학계열","어문학계열","국문학",90000,90000,"KRW","OutOfStock","Used",0,10,0,NA
"101904182","말과 글","강효열 편","박이정출판사",NA,NA,"312",NA,"148*210*30mm","1997년 12월 25일","어문학계열","어문학계열","국문학",12000,12000,"KRW","OutOfStock","Used",0,10,0,NA
"101966649","논리 논술 글쓰기","이종석 저","한국문화사",NA,"9791166850295","280",NA,"175*250*20mm","2021년 05월 31일","어문학계열","어문학계열","국문학",17000,17000,"KRW","OutOfStock","Used",0,10,0,NA
"10205","동편제의 거장 : 강도근 5가 전집","김기형 역","박이정출판사",NA,NA,"339",NA,"148*210*30mm","1998년 05월 31일","어문학계열","어문학계열","국문학",12000,12000,"KRW","OutOfStock","Used",0,10,0,NA
"102302680","사투리로 읽어 보는 충청문화","김정태,이명재 저","1165031213",NA,"9791165031213","219",NA,"148*210*20mm","2021년 05월 31일","어문학계열","어문학계열","국문학",10000,10000,"KRW","OutOfStock","Used",0,10,0,NA
"102342144","명사 구성 합성어의 의미 구조","김숙정 저","고려대학교민족문화연구원",NA,NA,"214",NA,"154*225*16mm","2021년 06월 10일","어문학계열","어문학계열","국문학",15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"102342266","한국 근대문학의 형성과 진화론","이만영 저","고려대학교민족문화연구원",NA,NA,"302",NA,"154*225*22mm","2021년 06월 10일","어문학계열","어문학계열","국문학",22000,22000,"KRW","OutOfStock","Used",0,10,0,NA
"102362101","원행을묘정리의궤","이효지,정길자,정낙원,김현숙,유애령,최영진,김은미,차경희 저","893632179X",NA,NA,"392",NA,"188*257*30mm","2021년 06월 21일","어문학계열","어문학계열","국문학",25000,25000,"KRW","OutOfStock","Used",0,10,0,NA
