"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"102588205","A+ 논술과 논문 작성법","유순근 저","박영사",NA,"9791130313245","376",NA,"176*248*20mm","2021년 08월 25일","인문학계열","기타","102588205.html",25000,25000,"KRW","InStock","Used",0,10,0,NA
"102815931","세계평화를 위한 신실용주의적 해법","임양택 저 ","박영사",NA,"9791130370668","840",NA,"199*262*40mm","2021년 07월 23일","인문학계열","기타","102815931.html",57000,57000,"KRW","OutOfStock","Used",0,10,0,NA
"102815943","정의로운 국가와 행복한 사회를 위한 신실용주의 철학과 정책","임양택 저 ","박영사",NA,"9791130370675","808",NA,"188*254*40mm","2021년 07월 23일","인문학계열","기타","102815943.html",56000,56000,"KRW","OutOfStock","Used",0,10,0,NA
"102815948","조선의 망조, 대한제국의 자멸, 대한민국의 위기","임양택 저 ","박영사",NA,"9791130370682","892",NA,"188*254*40mm","2021년 07월 23일","인문학계열","기타","102815948.html",59000,59000,"KRW","OutOfStock","Used",0,10,0,NA
"102945951","사고와표현","경기대학교 교재편찬위원회 저","118905728X",NA,"9791189057282","320",NA,"175*250*30mm","2021년 08월 02일","인문학계열","기타","102945951.html",20000,20000,"KRW","OutOfStock","Used",0,10,0,NA
"102947977","적정인문학으로서의 인문치료","김익진 저","신아사",NA,"9791191158601","319",NA,"153*225*16mm","2021년 08월 20일","인문학계열","기타","102947977.html",15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"102963979","논문 쓰고 졸업하기","김도환 저","사회평론아카데미",NA,"9791167070159","160",NA,"170*240*14mm","2021년 08월 02일","인문학계열","기타","102963979.html",12000,12000,"KRW","OutOfStock","Used",0,10,0,NA
"103191774","국내 대학원 유학생을 위한 논문쓰기 핸드북","이용직 저","비티타임즈",NA,"9791163453048","100",NA,"148*210*15mm","2021년 08월 16일","인문학계열","기타","103191774.html",20000,18000,"KRW","OutOfStock","Used",0,10,0,NA
"103335343","대학 글쓰기","경북대 글쓰기교재편찬위원회 저","경북대학교출판부",NA,NA,"260",NA,"188*257*20mm","2021년 08월 13일","인문학계열","기타","103335343.html",15000,15000,"KRW","OutOfStock","Used",10,10,0,NA
"103438668","인문사회학으로 보는 AI","박현식,고인석,김홍근,박성원,박창훈,염창선,이중만,조상섭,최예정,한유미 저","자유아카데미",NA,"9791158083175","292",NA,"152*225*20mm","2021년 08월 31일","인문학계열","기타","103438668.html",18000,18000,"KRW","OutOfStock","Used",10,10,0,1
