"id","title","author_full","publisher_name","publisher_code","isbn13","page_count","weight","size","publication_date","category_major","category_field","category_subfield","price_original","price_sale","currency","availability","item_condition","rating_value","rating_scale","rating_normalized","review_count"
"103438296","AI의 과학적 길라잡이","박성원,강현철,권영진,김경식,김현정,박선민·,박현식,방인석,최예정,한유미 저","자유아카데미",NA,"9791158083182","320",NA,"152*225*30mm","2021년 08월 31일","자연과학계열","103438296.html",NA,20000,20000,"KRW","OutOfStock","Used",0,10,0,1
"110691294","친환경 바이오 플라스틱 신소재 개발과 상용화 방안","한국미래기술교육연구원","미래기술",NA,"9791159981654","160",NA,"210*297mm","2022년 04월 29일","자연과학계열","110691294.html",NA,80000,80000,"KRW","OutOfStock","Used",0,10,0,NA
"110702723","'청정수소의 핵심' 수전해 수소생산 기술과 부품/소재 국산화 방안","한국미래기술교육연구원","미래기술",NA,"9791159981692","160",NA,"210*297mm","2022년 06월 17일","자연과학계열","110702723.html",NA,80000,80000,"KRW","OutOfStock","Used",0,10,0,NA
"115838078","폐자원의 화학적 리사이클링 기술과 원료 및 제품 생산 방안","한국미래기술교육연구원","미래기술",NA,"9791159981814","160",NA,"210*297mm","2022년 11월 11일","자연과학계열","115838078.html",NA,80000,80000,"KRW","OutOfStock","Used",0,10,0,NA
"117082790","에너지 전환 및 탄소중립 실현을 위한 기업의 대응전략","한국미래기술교육연구원","미래기술",NA,"9791159981838","160",NA,"210*297mm","2022년 12월 09일","자연과학계열","117082790.html",NA,80000,80000,"KRW","OutOfStock","Used",0,10,0,NA
"118763262","스토리가 있는 앤티크 찻잔의 비밀","최성희 저/이욱 사진","중앙생활사",NA,NA,"256",NA,"153*225*20mm","2023년 05월 25일","자연과학계열","118763262.html",NA,18000,16200,"KRW","OutOfStock","Used",10,10,0,NA
"125078628","자연과학의 이해와 융합","Bill W. Tillery 등저/강광철,김석준,김영태,김주천,박태원 등역","893632537X",NA,NA,"496",NA,"210*297*30mm","2024년 03월 01일","자연과학계열","125078628.html",NA,27000,27000,"KRW","OutOfStock","Used",0,10,0,NA
"125214619","Centrifugal Microfluidics for Nanobiotechnology","서태석 저","에듀컨텐츠휴피아",NA,NA,"236",NA,"188*257*20mm","2024년 02월 28일","자연과학계열","125214619.html",NA,19000,19000,"KRW","OutOfStock","Used",0,10,0,NA
"143624335","경영약학","경영약학 연구회 저",NA,NA,NA,"438",NA,"188*257*20mm","2024년 12월 31일","자연과학계열","143624335.html",NA,35000,35000,"KRW","OutOfStock","Used",0,10,0,NA
"1465865","신고 재배학 원론","조재영 외 저","향문사",NA,NA,"351",NA,NA,"2005년 01월 10일","자연과학계열","1465865.html",NA,23000,23000,"KRW","InStock","Used",0,10,0,NA
"1484398","글쓰기 자연과학편","전남대학교 교육발전연구센터","897598494X",NA,NA,"230",NA,"188*254*20mm","2005년 02월 28일","자연과학계열","1484398.html",NA,9000,8100,"KRW","InStock","Used",0,10,0,NA
"1488593","수질화학","양운진 저","신광문화사",NA,NA,"431",NA,NA,"2004년 03월 10일","자연과학계열","1488593.html",NA,22000,22000,"KRW","OutOfStock","Used",0,10,0,NA
"1523141","예제 중심의 실험 계획법","이상복 저","이레테크",NA,NA,"390",NA,NA,"2005년 03월 14일","자연과학계열","1523141.html",NA,18000,18000,"KRW","OutOfStock","Used",0,10,0,NA
"15899510","통계자료분석","송문섭,조신섭 공저","897338208X",NA,NA,"378",NA,"188*254mm","2015년 02월 20일","자연과학계열","15899510.html",NA,27000,27000,"KRW","OutOfStock","Used",9,10,0,NA
"1783265","인간과 환경","김명철 저","녹문당",NA,NA,"226",NA,NA,"2007년 03월 10일","자연과학계열","1783265.html",NA,15000,15000,"KRW","InStock","Used",0,10,0,NA
"1785512","과학기술 문서작성, 발표와 커뮤니케이션","노상도,강무진,신동렬 공저","시그마프레스",NA,NA,"430",NA,NA,"2005년 09월 10일","자연과학계열","1785512.html",NA,18000,18000,"KRW","OutOfStock","Used",0,10,0,NA
"1792954","RF 능동회로 설계이론 및 실무","윤영 저","홍릉과학출판사",NA,NA,"545",NA,"188*254*35mm","2005년 08월 25일","자연과학계열","1792954.html",NA,35000,35000,"KRW","OutOfStock","Used",0,10,0,NA
"1813917","토질 동역학","Shamsher Prakash 저/하광형 역","이엔지북",NA,NA,"589",NA,"188*254*35mm","2005년 11월 10일","자연과학계열","1813917.html",NA,35000,31500,"KRW","OutOfStock","Used",0,10,0,NA
"1819510","VERILOG HDL 기초 및 응용 설계","박인학저","897283517X",NA,NA,"291",NA,"188*254*20mm","2005년 11월 24일","자연과학계열","1819510.html",NA,15000,15000,"KRW","OutOfStock","Used",0,10,0,NA
"1819518","아날로그 혼성모드 신호 설계 가이드라인","김대정저","홍릉과학출판사",NA,NA,"161",NA,"188*254*20mm","2005년 11월 09일","자연과학계열","1819518.html",NA,13000,13000,"KRW","OutOfStock","Used",0,10,0,NA
"1932087","전산기로 푸는 수충격 해석 완성","벤자민 와일리 외 저/박한영 외 역","894500176x",NA,NA,"535",NA,NA,"2005년 12월 09일","자연과학계열","1932087.html",NA,30000,27000,"KRW","OutOfStock","Used",0,10,0,NA
"1933669","데이터베이스 MYSQL 응용방안","김정환 저","홍릉과학출판사",NA,NA,"832",NA,"188*254*40mm","2005년 03월 01일","자연과학계열","1933669.html",NA,32000,32000,"KRW","InStock","Used",0,10,0,NA
"19892852","자연과학의 역사","최재희,민경진 공저","8981729581",NA,NA,"238",NA,"188*254mm","2013년 08월 13일","자연과학계열","19892852.html",NA,14000,14000,"KRW","OutOfStock","Used",0,10,0,NA
"2108959","이과계를 위한 상황·수준별 영어 커뮤니케이션","윤병성 역","월드사이언스",NA,NA,"126",NA,"148*210*20mm","2006년 05월 10일","자연과학계열","2108959.html",NA,8000,8000,"KRW","OutOfStock","Used",0,10,0,NA
